name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Clyde Cameron,AO,1982,2005,2005-10-08,1982-01-26,Yes,1982-01-26,2001-01-15,2001,1727,4,Pre,M,SA,2861963,Officer of the Order of Australia,The Honourable Clyde Robert CAMERON,Australia Day 1982 Honours List,G,In recognition of service to the government and politics,Australian politician (1913-2008),https://en.wikipedia.org/wiki/Clyde_Cameron,NA,1
Clyde Croft,AM,2019,2013,2013-10-04,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-1940,-6,Post,M,VIC,40709090,Member of the Order of Australia,The Honourable Justice Clyde Elliott CROFT,Australia Day 2019 Honours List,G,"For significant service to the law, and to the judiciary, particularly through commercial arbitration.",Australian judge,https://en.wikipedia.org/wiki/Clyde_Croft,NA,1
Cody Meakin,OAM,2014,2012,2012-07-06,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-569,-2,Post,M,QLD,36348258,Medal of the Order of Australia,Mr Cody MEAKIN,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,"Australian male wheelchair rugby Paralympian,",https://en.wikipedia.org/wiki/Cody_Meakin,NA,1
Col Fisher,OAM,1997,2010,2010-05-03,1997-06-09,Yes,1997-06-09,2001-01-15,2001,3395,9,Pre,M,NSW,27210796,Medal of the Order of Australia,Mr Colin Murray FISHER,The Queen's Birthday 1997 Honours List,G,"For service to the Parliament of New Soth Wales, local government and the community of the Hunter region.",Australian politician,https://en.wikipedia.org/wiki/Col_Fisher,NA,1
Col Joye,AM,1981,2006,2006-10-30,1981-06-08,Yes,1981-06-08,2001-01-15,2001,2114,5,Pre,M,NSW,7687146,Member of the Order of Australia,Mr Colin Frederick JACOBSEN (Col JOYE),The Queen's Birthday 1981 Honours List,G,For service to the entertainment industry.,Australian entertainer,https://en.wikipedia.org/wiki/Col_Joye,NA,1
Colin Dunsford,AM,2013,2017,2017-09-29,2013-06-10,Yes,2013-06-10,2013-06-10,2013,1572,4,Post,M,SA,55382887,Member of the Order of Australia,Mr Colin Wayne DUNSFORD,The Queen's Birthday 2013 Honours List,G,"For significant service to the community of South Australia, and to the accounting profession.",NA,https://en.wikipedia.org/wiki/Colin_Dunsford,NA,1
Colin Harrison (sailor),OAM,2017,2011,2011-10-05,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-1940,-6,Post,M,WA,33309705,Medal of the Order of Australia,Mr Colin Anthony HARRISON,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian Paralympic sailor,https://en.wikipedia.org/wiki/Colin_Harrison_(sailor),NA,1
Colin Hayes,AM,1994,2006,2006-08-02,1994-01-26,Yes,1994-01-26,2001-01-15,2001,2025,5,Pre,M,SA,6227219,Member of the Order of Australia,"Mr Colin Sidney HAYES, OBE",Australia Day 1994 Honours List,G,AM AD 81 FOR SERVICE IN THE FIELD OF INDUSTRIAL RELATIONS,Australian horse trainer,https://en.wikipedia.org/wiki/Colin_Hayes,NA,1
Colin Jamieson,AO,1988,2007,2007-10-28,1988-01-26,Yes,1988-01-26,2001-01-15,2001,2477,6,Pre,M,WA,13951387,Officer of the Order of Australia,The Honourable Colin John JAMIESON,Australia Day 1988 Honours List,G,For service to the Western Australian Parliament and to the community.,Australian politician,https://en.wikipedia.org/wiki/Colin_Jamieson,NA,1
Colin L. Masters,AO,2017,2018,2018-08-13,2017-01-26,Yes,2017-01-26,2017-01-26,2017,564,1,Post,M,VIC,58130411,Officer of the Order of Australia,Professor Colin Louis MASTERS,Australia Day 2017 Honours List,G,For distinguished service to medical research through international and national contributions to understanding Alzheimer's and other neurodegenerative diseases.,Australian neuropathologist,https://en.wikipedia.org/wiki/Colin_L._Masters,NA,1
Colin Laverty,OAM,2008,2008,2008-01-28,2008-01-26,Yes,2008-01-26,2008-01-26,2008,2,0,Post,M,NSW,15457620,Medal of the Order of Australia,Dr Colin Robert LAVERTY,Australia Day 2008 Honours List,G,"For service to medicine in the fields of gynaecological cytology and histopathology, particularly through the advancement of cervical screening services in Australia and through developments in establishing the role of the human papillomavirus in the genesis of cervical cancer; and to art, particularly Indigenous art both in Australia and overseas.",Australian medical practitioner,https://en.wikipedia.org/wiki/Colin_Laverty,NA,1
Colin Love,AM,2007,2007,2007-04-09,2007-01-26,Yes,2007-01-26,2007-01-26,2007,73,0,Post,M,NSW,10561697,Member of the Order of Australia,Mr Colin William LOVE,Australia Day 2007 Honours List,G,"For service to sport as an administrator of Rugby League football at national and international levels, to sports law, and to the staging of sporting events.",Australian rugby league administrator,https://en.wikipedia.org/wiki/Colin_Love,NA,1
Colin Madigan,AO,1984,2006,2006-11-02,1984-01-26,Yes,1984-01-26,2001-01-15,2001,2117,5,Pre,M,NSW,7740626,Officer of the Order of Australia,Mr Colin Frederick MADIGAN,Australia Day 1984 Honours List,G,AO AD84. FOR SERVICE TO ARCHITECTURE,Australian architect,https://en.wikipedia.org/wiki/Colin_Madigan,NA,1
Colin McDonald (Australian cricketer),AM,2014,2005,2005-08-30,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-3071,-9,Post,M,VIC,2574181,Member of the Order of Australia,Mr Colin Campbell McDONALD,Australia Day 2014 Honours List,G,"For significant service to tennis as an administrator, to cricket as a player, and to the community.",Australian cricketer,https://en.wikipedia.org/wiki/Colin_McDonald_(Australian_cricketer),NA,1
Colin Neave,AM,2005,2013,2013-06-18,2005-06-13,Yes,2005-06-13,2005-06-13,2005,2927,8,Post,M,VIC,39714978,Member of the Order of Australia,Mr Colin Robert NEAVE,The Queen's Birthday 2005 Honours List,G,"For service to public administration and to the banking and finance industry, particularly through dispute resolution.",Australian public servant,https://en.wikipedia.org/wiki/Colin_Neave,NA,1
Colin Raston,AO,2016,2016,2016-06-14,2016-06-13,Yes,2016-06-13,2016-06-13,2016,1,0,Post,M,SA,50807874,Officer of the Order of Australia,Professor Colin Llewellyn RASTON,The Queen's Birthday 2016 Honours List,G,"For distinguished service to science through seminal contributions to the field of chemistry as a researcher and academic, and to professional associations.",Professor of Chemistry,https://en.wikipedia.org/wiki/Colin_Raston,NA,1
Colin Rattray,OAM,1993,2010,2010-04-10,1993-01-26,Yes,1993-01-26,2001-01-15,2001,3372,9,Pre,M,TAS,26910010,Medal of the Order of Australia,Mr Colin Lewis RATTRAY,Australia Day 1993 Honours List,G,OAM/FOR SERVICE TO LOCAL GOVERMENT. (JAN 93) AUST DAY HONOURS,Australian politician,https://en.wikipedia.org/wiki/Colin_Rattray,NA,1
Colin Syme,ADK,1977,2007,2007-06-14,1977-06-06,Yes,1977-06-06,2001-01-15,2001,2341,6,Pre,M,VIC,11763473,Knight of the Order of Australia,Sir Colin (York) SYME,The Queen's Birthday 1977 Honours List,G,"For extra-ordinary and meritorious service to industry, particularly in the fields of research and technology.",Australian businessman,https://en.wikipedia.org/wiki/Colin_Syme,NA,1
Colin Tatz,AO,1997,2008,2008-09-13,1997-01-26,Yes,1997-01-26,2001-01-15,2001,2798,7,Pre,M,NSW,19302662,Officer of the Order of Australia,Professor Colin Martin TATZ,Australia Day 1997 Honours List,G,"AO. FOR SERVICE TO THE COMMUNITY THROUGH RESEARCH INTO SOCIAL AND LEGAL JUSTICE FOR PEOPLE DISADVANTAGED BY THEIR RACE, PARTICULARLY THE ABORIGINAL COMMUNITY, AND TO PROMOTING THE EQUAL PARTICIPATION IN COMMUNITY LIFE OF ALL AUSTRALIANS. GAZ S13. AD 1997",Australian historian,https://en.wikipedia.org/wiki/Colin_Tatz,NA,1
Colin Thiele,AC,1977,2005,2005-04-08,1977-06-06,Yes,1977-06-06,2001-01-15,2001,1544,4,Pre,M,QLD,1707546,Companion of the Order of Australia,Mr Colin Milton THIELE,The Queen's Birthday 1977 Honours List,G,AC GENERAL DIVISION QB 1977,Australian author,https://en.wikipedia.org/wiki/Colin_Thiele,NA,1
Colleen McCullough,AO,2006,2003,2003-11-28,2006-06-12,Yes,2006-06-12,2006-06-12,2006,-927,-3,Post,F,Other,381507,Officer of the Order of Australia,Dr Colleen McCULLOUGH,The Queen's Birthday 2006 Honours List,G,"For service to the arts as an author and to the community through roles supporting national and international educational programs, medico-scientific disciplines and charitable organisations and causes.",Australian author,https://en.wikipedia.org/wiki/Colleen_McCullough,NA,1
Collette Dinnigan,AO,2017,2008,2008-06-17,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-3282,-9,Post,F,NSW,17987383,Officer of the Order of Australia,Ms Collette Mary Ann DINNIGAN,The Queen's Birthday 2017 Honours List,G,"For distinguished service to the clothing manufacturing industry as an internationally renowned fashion designer and entrepreneur, as a supporter and promoter of Australian wool, and to women as a role model.",Australian fashion designer,https://en.wikipedia.org/wiki/Collette_Dinnigan,NA,1
Collin Freeland,AO,1988,2014,2014-07-25,1988-06-13,Yes,1988-06-13,2001-01-15,2001,4939,13,Pre,M,ACT,43390859,Officer of the Order of Australia,Mr Collin William Martin FREELAND,The Queen's Birthday 1988 Honours List,G,In recognition of public service,Australian public servant,https://en.wikipedia.org/wiki/Collin_Freeland,NA,1
Con Sciacca,AO,2006,2004,2004-04-14,2006-01-26,Yes,2006-01-26,2006-01-26,2006,-652,-2,Post,M,QLD,595666,Officer of the Order of Australia,The Honourable Concetto Antonio SCIACCA,Australia Day 2006 Honours List,G,"For service to ex-service personnel, particularly through the commemorative program of events, Australia Remembers 1945-1995, to the community through support for cancer research institutions, and to the Australian Parliament.",Australian politician,https://en.wikipedia.org/wiki/Con_Sciacca,NA,1
Conall O'Connell,AM,2014,2014,2014-03-10,2014-01-26,Yes,2014-01-26,2014-01-26,2014,43,0,Post,M,ACT,42160261,Member of the Order of Australia,Dr Conall O'CONNELL,Australia Day 2014 Honours List,G,"For significant service to public administration and governance, and to Australia's agricultural, forestry and fisheries sectors.",Australian public servant,https://en.wikipedia.org/wiki/Conall_O%27Connell,NA,1
Concetta Benn,AM,1995,2016,2016-07-02,1995-01-26,Yes,1995-01-26,2001-01-15,2001,5647,15,Pre,F,VIC,50975921,Member of the Order of Australia,Mrs Concetta BENN,Australia Day 1995 Honours List,G,"In recognition of service to social welfare, particularly in the areas of health and education",Australian social worker,https://en.wikipedia.org/wiki/Concetta_Benn,NA,1
Connie Johnson (fundraiser),OAM,2018,2017,2017-09-10,2018-01-26,Yes,2018-01-26,2018-01-26,2018,-138,-1,Post,F,VIC,55197318,Medal of the Order of Australia,The late Ms Constance Anne JOHNSON,Australia Day 2018 Honours List,G,For service to people with breast cancer.,Australian cancer fundraiser,https://en.wikipedia.org/wiki/Connie_Johnson_(fundraiser),NA,1
Cornelia Frances,OAM,2019,2005,2005-01-19,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-5120,-14,Post,F,NSW,1410398,Medal of the Order of Australia,The late Ms Cornelia FRANCES,Australia Day 2019 Honours List,G,For service to the performing arts as an entertainer.,English-Australian actress (1941-2018),https://en.wikipedia.org/wiki/Cornelia_Frances,NA,1
Cornelius Keogh,OAM,2004,2008,2008-08-29,2004-01-26,Yes,2004-01-26,2004-01-26,2004,1677,4,Post,M,NSW,19087841,Medal of the Order of Australia,The Reverend Doctor Cornelius Brendan KEOGH,Australia Day 2004 Honours List,NA,"For service to the community, particularly through rehabilitation support for people with a mental illness as co-founder of GROW.",Australian Catholic priest,https://en.wikipedia.org/wiki/Cornelius_Keogh,NA,1
Craig Challen,OAM,2018,2011,2011-03-24,2018-07-24,Yes,2018-07-24,2018-07-24,2018,-2679,-7,Post,M,Other,31281527,Medal of the Order of Australia,Dr Craig CHALLEN,Thailand Cave Rescue,G,For service to the international community through specialist response roles during the Tham Luang cave rescue in Thailand in 2018.,Australian veterinary surgeon and technical diver,https://en.wikipedia.org/wiki/Craig_Challen,NA,1
Craig Knowles,AM,2015,2005,2005-10-01,2015-01-26,Yes,2015-01-26,2015-01-26,2015,-3404,-10,Post,M,NSW,2806146,Member of the Order of Australia,The Honourable Craig John KNOWLES,Australia Day 2015 Honours List,G,"For significant service to local government, to the Parliament of New South Wales, and to the community through a range of health initiatives.",New South Wales politician,https://en.wikipedia.org/wiki/Craig_Knowles,NA,1
Craig Lowndes,OAM,2012,2005,2005-03-26,2012-06-11,Yes,2012-06-11,2012-06-11,2012,-2634,-7,Post,M,QLD,1651314,Medal of the Order of Australia,Mr Craig Andrew LOWNDES,The Queen's Birthday 2012 Honours List,G,"For service to motor racing and to the community, particularly through road safety education programs and charitable organisations.",Australian racing driver,https://en.wikipedia.org/wiki/Craig_Lowndes,NA,1
Creighton Burns,AO,1991,2008,2008-01-21,1991-01-26,Yes,1991-01-26,2001-01-15,2001,2562,7,Pre,M,VIC,15337305,Officer of the Order of Australia,Mr Creighton Lee BURNS,Australia Day 1991 Honours List,G,In recognition of service to the media and to international relations,"Australian newspaper editor, journalist and academic",https://en.wikipedia.org/wiki/Creighton_Burns,NA,1
Creswell Eastman,AO,2018,2017,2017-02-15,2018-01-26,Yes,1994-06-10,2001-01-15,2001,5875,16,Pre,M,NSW,53195613,Officer of the Order of Australia,Professor Creswell John EASTMAN AM,Australia Day 2018 Honours List,G,"For distinguished service to medicine, particularly to the discipline of pathology, through leadership roles, to medical education, and as a contributor to international public health projects.",Australian endocrinologist,https://en.wikipedia.org/wiki/Creswell_Eastman,NA,2
Curtis McGrath,OAM,2017,2014,2014-08-22,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-888,-3,Post,M,QLD,43625751,Medal of the Order of Australia,Mr Curtis Wain McGRATH,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian paracanoeist,https://en.wikipedia.org/wiki/Curtis_McGrath,NA,1
Da'i Bachtiar,AO,2003,2004,2004-12-28,2003-10-11,Yes,2003-10-11,2003-10-11,2003,444,1,Post,M,Other,1336932,Officer of the Order of Australia,Police General Drs Da'I BACHTIAR,NA,HG,"For service to Australia, particularly the establishment of the joint investigation task force following the bombings which occurred in Bali on 12 October 2002.",Indonesian police chief,https://en.wikipedia.org/wiki/Da%27i_Bachtiar,NA,1
Dacre Smyth,AO,1977,2009,2009-03-05,1977-06-06,Yes,1977-06-06,2001-01-15,2001,2971,8,Pre,M,Other,21815012,Officer of the Order of Australia,Commodore Dacre Henry Deudraeth SMYTH,The Queen's Birthday 1977 Honours List,M,AO MILITARY DIVISION QB 1977,"Australian naval officer, poet and artist (1923-2008)",https://en.wikipedia.org/wiki/Dacre_Smyth,NA,1
Dale Begg-Smith,OAM,2017,2006,2006-02-04,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-4009,-11,Post,M,VIC,3955086,Medal of the Order of Australia,Mr Dale Nygel BEGG-SMITH,Australia Day 2017 Honours List,G,For service to sport as a Winter Olympic Games Gold Medallist.,freestyle skier,https://en.wikipedia.org/wiki/Dale_Begg-Smith,NA,1
Damien Burroughs,OAM,1997,2011,2011-09-29,1997-01-26,Yes,1997-01-26,2001-01-15,2001,3909,10,Pre,M,ACT,33246793,Medal of the Order of Australia,Mr Damien Alexander BURROUGHS,Australia Day 1997 Honours List,G,In recognition of service to sport as a gold medalist at the Atlanta Paralympic Games 1996,Australian Paralympic athlete,https://en.wikipedia.org/wiki/Damien_Burroughs,NA,1
Daniel Fitzgibbon,OAM,2014,2011,2011-10-05,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-844,-3,Post,M,NSW,33309811,Medal of the Order of Australia,Mr Daniel Gerard FITZGIBBON,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian Paralympic sailor,https://en.wikipedia.org/wiki/Daniel_Fitzgibbon,NA,1
Daniel Kowalski,OAM,2001,2005,2005-10-26,2001-01-26,Yes,2001-01-26,2001-01-26,2001,1734,4,Post,M,QLD,3001017,Medal of the Order of Australia,Mr Daniel Steven KOWALSKI,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian swimmer,https://en.wikipedia.org/wiki/Daniel_Kowalski,NA,1
Daniel McDaniel,AM,2015,2013,2013-10-12,2015-01-26,Yes,2015-01-26,2015-01-26,2015,-471,-2,Post,M,ACT,40772977,Member of the Order of Australia,Brigadier Daniel Francis McDANIEL,Australia Day 2015 Honours List,M,"For exceptional service as Commander Special Operations Command, Colonel Plans Headquarters Forces Command, and Deputy Commander International Security Assistance Force Special Operations Forces in Afghanistan.",Australian military officer,https://en.wikipedia.org/wiki/Daniel_McDaniel,NA,1
Daniel Polson,OAM,2001,2011,2011-10-02,2001-01-26,Yes,2001-01-26,2001-01-26,2001,3901,10,Post,M,SA,33276342,Medal of the Order of Australia,Mr Daniel Luke POLSON,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic cyclist,https://en.wikipedia.org/wiki/Daniel_Polson,NA,1
