wikipediaPageID,name,pageCreation
28368620,Jim Petrich,2010-08-15
33257557,Howard Olney,2011-09-30
381613,Rachel Ward,2003-11-28
28198113,Saxon White,2010-07-30
5255870,Michael Wilson Australian politician,2006-05-23
53419892,Terry Underwood,2017-03-08
4820808,Tetsuya Wakuda,2006-04-20
4157744,Tracey Wickham,2006-02-22
4872500,Geoff Mack,2006-04-24
20187558,Tom Tehan,2008-11-12
1148575,Bryan Brown,2004-11-09
33021954,David Irvine diplomat,2011-09-08
48309606,Graeme Jameson,2015-10-21
58346104,Stanley Jones judge,2018-08-31
55681445,Jane Mathews,2017-11-01
6495325,Allan Moss,2006-08-16
2705962,Jocelyn Newman,2005-09-19
33696574,Diana Laidlaw,2011-11-10
18032207,Bruce Lloyd,2008-06-20
20145591,Robert Clancy doctor,2008-11-10
6107632,Brian Davies rugby league,2006-07-25
57989699,Stella Bywaters,2018-07-25
1602538,Douglas Daft,2005-03-13
3986960,Marilyn Warren,2006-02-07
1410045,Charlie Bell businessman,2005-01-19
50071631,Freda Briggs,2016-04-07
33691012,Samuel Berkovic,2011-11-09
30470763,Peter Morris surgeon,2011-01-14
46754180,John Ryan diplomat,2015-05-20
64083213,John Douglas Morrison,2020-05-27
62100515,Margot Vowles,2019-10-19
14273915,Ross McLean politician,2007-11-16
4671389,Nick Enright,2006-04-08
772287,George Gregan,2004-07-02
32951423,John Sydney Haines,2011-09-02
42997405,Clifford Harry Thompson,2014-06-08
43236223,Margaret Ray Australian politician,2014-07-07
6731503,Harry Frederick Recher,2006-08-28
4779576,Judi Connelli,2006-04-17
206392,Nancy Wake,2003-04-06
55314327,Adele Green,2017-09-22
26155167,Leo Hielscher,2010-02-11
1626392,James Killen,2005-03-20
7723293,Hugh Stretton,2006-11-01
11807364,Raymond Apple rabbi,2007-06-17
56209430,Joan Bielski,2018-01-04
36055979,John Chapman general,2012-06-06
26536636,Helen Nugent,2010-03-13
43762250,Mahla Pearlman,2014-09-07
581422,Margaret Reid politician,2004-04-07
40469045,Cathy McGowan politician,2013-09-07
33257870,Bob Hetherington,2011-09-30
48768465,Iris Burgoyne,2015-12-09
58927445,Jane Edmanson,2018-10-31
3001167,Hayley Lewis,2005-10-26
23796318,Jacqueline Mason,2009-07-30
156123,Steve Waugh,2002-12-09
41849174,Max Howell educator,2014-02-05
19567269,Bob Hammond,2008-10-02
30222005,Basil Scarsella,2010-12-28
7479079,Ron Radford,2006-10-17
15999908,Tom Lewis author,2008-02-28
31925612,Neville Thiele,2005-01-11
41275448,Jillian Broadbent,2013-12-05
400912,Doug Anthony,2003-12-14
23822334,Roderick Carnegie,2009-08-01
931827,Richard Court,2004-08-26
2488071,Michael Field politician,2005-08-19
561386,Margaret Jackson,2004-03-29
38854109,Primrose Potter,2013-03-19
14623470,Bob Baxt,2007-12-09
40714653,Robert Brooking,2013-10-05
8965354,Geraldine Doogue,2007-01-17
49693140,Thancoupie,2016-03-09
20203188,Andrea Hull,2008-11-14
4145179,Ken Inglis,2006-02-21
2799471,Dean Jaensch,2005-09-30
42812563,Terry Jackman,2014-05-20
17046983,Toni Lamond,2008-04-22
28329556,John Mitchell administrator,2010-08-11
2520646,Paula Duncan,2005-08-23
5783406,Robert Champion de Crespigny,2006-07-01
815139,John Doyle judge,2004-07-13
409149,Herb Elliott,2003-12-20
1186353,Kenneth Hayne,2004-11-19
27987443,Kay Hallahan,2010-07-09
2563194,George Szekeres,2005-08-28
23270711,George Szekeres Medal,2009-06-18
4579582,Australian Mathematical Society,2006-03-31
2917166,Ian Wilson politician,2005-10-16
1689136,Mike Ahern Australian politician,2005-04-03
52720414,Ronald Drayton Brown,2016-12-29
10215129,Peter Leahy,2007-03-23
51395339,Beryl Nashar,2016-08-22
2292559,Clifford Possum Tjapaltjarri,2005-07-23
27898959,Mike Willesee,2006-04-29
46882024,Alan Coates,2015-06-03
52171075,Anne Hepburn,2016-11-02
15237796,Edgar Britt,2008-01-15
1110731,Ray Hadley,2004-10-28
23952752,Nicholas Euclid,2009-08-12
3895050,Pinchus Feldman,2006-01-30
47918874,Bruce Peake,2015-09-24
14683910,Gwyn Hanssen Pigott,2007-12-05
24064820,George Bornemissza,2009-08-21
3230759,David Ashton botanist,2005-11-24
9623824,Ian Lowe,2007-02-21
1996713,Dianne Yerbury,2005-06-05
27842975,Elizabeth Anne Reid,2010-06-25
52431307,James Dunn diplomat,2016-11-30
57882111,Judith Whitworth,2018-07-12
1010283,Janine Haines,2004-09-23
33345575,Hilary McPhee,2011-10-08
22978742,Jackie Huggins,2009-05-27
9401726,Jim Carlton,2007-02-09
1138584,John Yu,2004-11-06
33265547,John Mathwin,2011-10-01
54204157,Dick Kimber,2017-06-02
2994195,Jack Lockett,2005-10-25
57382579,Mary Sawyer tennis,2018-05-10
11048941,Kevin Scarce,2007-05-04
8431667,John Treloar athlete,2006-12-14
1510351,Peter Thomson golfer,2005-02-15
8360376,Michael Morgan rower,2006-12-10
2807449,Doug Lowe Australian politician,2005-10-01
1585612,Sam Calder,2005-03-09
2926439,Don Cameron Queensland Liberal politician,2005-10-17
41672204,Patrick Corrigan businessman,2014-01-17
15698464,Wayne Denis Hall,2008-02-11
32679553,Paul Symon,2011-08-08
731639,Murray Rose,2004-06-17
7072512,Sally Thomas,2006-09-20
55493956,Beryl Grant,2017-10-10
14780626,Richard Scotton,2007-12-19
2124582,Geoffrey Wickham,2005-05-26
9782491,James Roland Wood,2007-03-01
9142412,Paul de Jersey,2007-01-27
10692160,Robyn Archer,2007-04-16
22462457,David Bennett barrister,2009-04-18
18870989,John Carter endocrinologist,2008-08-15
47046796,Reginald Marr,2015-06-22
